source,page,type,text
Chang and Fosler-Lussier - 2023 - How to Prompt LLMs for Text-to-SQL A Study in Zer.pdf,10,caption,Table 1: Zero-shot results of Codex and ChatGPT using different database prompt constructions. Table Schema
Chang and Fosler-Lussier - 2023 - How to Prompt LLMs for Text-to-SQL A Study in Zer.pdf,6,page,"0 5 10 15 70 72 74 76 78 80 82 Table Table(Columns) Columns=[] Table+RS Columns=[]+ForeignKey CreateTable Table+RS+Cont CreateTable+InsertRow CreateTable+SelectRow CreateTable+SelectCol # Shots Execution Accuracy (a) Codex 0 5 10 15 70 72 74 76 78 80 Table Table(Columns) Columns=[] Table+RS Columns=[]+ForeignKey CreateTable Table+RS+Cont CreateTable+InsertRow CreateTable+SelectRow CreateTable+SelectCol # Shots Execution Accuracy (b) ChatGPT Figure 5: Execution accuracy of Codex and ChatGPT for single-domain text-to-SQL with 1, 4, 8, and 16 in- domain examples. RS and Cont correspond to table relationship and table content, respectively. Detailed results can be found in Table 4 and 5. relationships and table content enhanced LLMs’ performance in the zero-shot scenario, it is not clear whether they are still important in the single- domain setting. A hypothesis is that table relation- ship and table content knowledge can be acquired from in-domain examples as they may appear in SQL clauses JOIN and WHERE. For table relationships, we compare two database prompt constructions Columns=[] and Columns=[]+ForeignKey. Both construct the ta- ble schema in the same way while the latter in- cludes foreign keys as table relationships. In the zero-shot scenario, Columns=[]+ForeignKey out- performs Columns=[] by 1.3 and 2.1 for Codex and ChatGPT, respectively. However, as increasing the number of in-domain examples, we notice a gradual reduction in the performance gap between these two prompts. With the utilization of 16 in- domain examples, the gap completely disappears for Codex, while ChatGPT exhibits a marginal dif- ference of only 0.5%. For table content, we compare CreateTable with CreateTable+SelectCol. Both contain the same prompts for presenting the table schema and relationship, while the latter addi- tionally includes table content. In the zero-shot scenario, CreateTable+SelectCol outperforms CreateTable by 2.0% for Codex and 1.7% for ChatGPT. As we proceed to increase the number of in-domain examples, we observe that the per- formance gap between these two prompts does not exhibit a significant reduction. Even with 16 in- domain examples, the gap still persists at 1.3 for Codex and 1.9 for ChatGPT. These results indicate LLMs are able to quickly learn table relationships from a small number of in- domain demonstrations, however, it is more chal- lenging to obtain table content knowledge from demonstration examples. Consequently, the inclu- sion of table content remains crucial for achieving satisfactory performance in the single-domain text- to-SQL scenario. Q3: Can in-domain demonstrations alleviate the sensitivity of LLMs to the representation of ta- ble content? In the zero-shot setting, we observe that LLMs are sensitive to how the table content is presented. Specifically, SelectCol 3 outperforms InsertRow 3 by a substantial margin of 3.8 for Codex and 1.8 for ChatGPT. However, as we ex- pose LLMs to in-domain demonstrations, LLMs be- come less sensitive to the specific representation of table content. The performance disparities among the three table content prompts become marginal. Notably, with only 4 examples, the performance difference between SelectCol 3 and InsertRow 3 diminishes to 0.3 for Codex and 0.2 for ChatGPT. To summarize, in single-domain text-to-SQL, we recommend incorporating a greater number of in-domain examples whenever feasible. It is also essential to ensure the presence of table content in conjunction with the table schema while the specific choice of table content construction is less crucial compared to the zero-shot scenario. 5.3 Cross-domain Text-to-SQL In this section, we present the results to answer a series of questions regarding the demonstration and database prompt construction. 5.3.1 Impact of Demonstration Prompt To investigate the impact of the number of databases and examples per database in demon- strations, we conduct experiments encompassing various combinations. Specifically, our demonstra- tions are composed of M demonstration databases, each containing K NLQ-SQL pairs. We consider scenarios with up to 8 databases and 16 examples per database as long as the combination does not"
Chang and Fosler-Lussier - 2023 - How to Prompt LLMs for Text-to-SQL A Study in Zer.pdf,39,caption,Figure 5: Execution accuracy of Codex and ChatGPT
Chang and Fosler-Lussier - 2023 - How to Prompt LLMs for Text-to-SQL A Study in Zer.pdf,7,page,"1 2 4 6 8 # DBs 168421 # Examples/DB 76.0 76.0 74.5 75.7 75.9 74.2 76.2 75.7 76.3 75.0 75.0 75.2 76.1 74.7 73.8 73.0 73.3 73.9 73.3 72.5 72.5 73.0 73.5 74.0 74.5 75.0 75.5 76.0 Figure 6: A heat map of Codex’s execution accuracy us- ing CreateTable+SelectRow 3 for different numbers of databases and examples per database in the demon- stration. Darker color indicates higher accuracy. 1,1 2,1 4,1 6,1 8,1 1,2 2,2 4,2 6,2 8,2 1,4 2,4 4,4 6,4 1,8 2,8 4,8 1,16 2,16 4,16 2000 3000 4000 5000 6000 7000 72 73 74 75 76 1 example/DB 2 examples/DB 4 examples/DB 8 examples/DB 16 examples/DB # Prompt Tokens Execution Accuracy Figure 7: Execution accuracy of Codex in relation to the length of prompts. Each dot on the graph represents a specific demonstration prompt construction, with the m, kdenoting the number of databases and examples per database used in the prompt. The lines represent second-degree polynomial trendlines fitted to the results. exceed the prompt length limit. We opt to use the database prompt CreateTable+SelectRow 3 as it contains fewer tokens compared to InsertRow and SelectCol while encompassing all valuable database knowledge. We present the experiments with Codex in this section. Experiments involv- ing ChatGPT-16K can be found in Appendix A.4 which show similar results as Codex. Q1: Does increasing demonstration examples enhance LLMs’ performance? Figure 2 presents the accuracy of Codex corresponding to different combinations of the number of databases and the number of examples per database used as demon- strations. We analyze the results from two perspec- tives. Firstly, for a fixed number of databases, we observe an initial improvement in Codex’s perfor- mance as the number of examples per database increases. However, this improvement plateaus or declines once 4 examples per database are provided. Surprisingly, when using 4 databases, employing 8 or 16 examples per database leads to a significant decrease in the Codex’s performance compared to using 2 or 4 examples per database. Secondly, for a fixed number of examples per database, we ob- serve an initial increase in Codex’s performance as the number of databases increases, however, this improvement is followed by a significant decrease once the number of databases reaches a certain threshold (either 4 or 6). Q2: Why does increasing the number of databases decrease LLMs’ performance? As depicted in Figure 2, presenting more databases does not always lead to improved performance. In fact, there is a significant decline in performance, once it surpasses a threshold. We hypothesize that this phenomenon is attributed to the length of the prompt text. To test this hypothesis, we analyze the results in relation to the prompt length. Figure 7 shows the relationship between the accuracy of different demonstration prompts and their prompt lengths. Notably, the performance of Codex exhibits an inverted-U shape as the prompt length increases for each number of examples per database. Additionally, we observe a substantial drop in performance once the prompt text length exceeds approximately 5500 tokens. Similarly, Fig- ure 9 shows that the performance of ChatGPT-16K starts to decrease when prompt text length exceeds 11K tokens. Based on these observations, we con- jecture that LLMs may have a sweet spot in terms of prompt length, potentially influenced by factors such as their model architecture or training data. This indicates that even though LLMs are capable of handling long contexts, they may not necessarily perform better with excessively long prompts. 5.3.2 Impact of Database Prompt Since incorporating demonstration databases may cause a decrease in Codex’s performance, we fo- cus our database prompt experiments on using one demonstration database in combination with vary- ing quantities of demonstration examples. Table 2 presents the execution accuracy of Codex using different database prompts. Q3: Do different database prompts show similar trends with the number of demonstration exam- ples? We observe an initial performance increase for all database prompts. However, once more than 4 examples are provided, the improvement starts to level off, indicating that the different database prompts exhibit similar trends in relation to the number of demonstration examples."
Chang and Fosler-Lussier - 2023 - How to Prompt LLMs for Text-to-SQL A Study in Zer.pdf,18,caption,Figure 6: A heat map of Codex’s execution accuracy us-
Chang and Fosler-Lussier - 2023 - How to Prompt LLMs for Text-to-SQL A Study in Zer.pdf,53,caption,Figure 7: Execution accuracy of Codex in relation to
Chang and Fosler-Lussier - 2023 - How to Prompt LLMs for Text-to-SQL A Study in Zer.pdf,97,caption,Figure 7 shows the relationship between the
Chang and Fosler-Lussier - 2023 - How to Prompt LLMs for Text-to-SQL A Study in Zer.pdf,8,page,"Database Prompt Construction 0-shot 1-shot 2-shot 4-shot 8-shot 16-shot Table Schema Table(Columns) 71.9 72.0 73.0 73.2 72.8 73.9 Columns=[] 71.8 71.9 73.6 74.2 73.7 74.4 +Relationship Columns=[]+ForeignKey 73.1 73.3 74.5 74.9 74.9 75.2 CreateTable 73.1 72.1 73.4 73.7 74.1 75.1 +Relationship+Content CreateTable+InsertRow 3 71.9 72.2 74.1 74.9 74.9 74.8 CreateTable+SelectRow 3 74.1 73.0 75.0 76.2 75.7 76.0 CreateTable+SelectCol 3 75.7 74.4 75.5 76.5 76.8 76.5 Table 2: Cross-domain results of Codex using different database prompt constructions. Only one demonstration database is included in a prompt, N-shot represents N examples corresponding to the demonstration database. The best and second-best results for each shot are highlighted in bold and underlined. Q4: Can out-of-domain demonstrations allevi- ate the sensitivity of LLMs to database prompts? First, we observe that incorporating table relation- ships and content in the prompts remains crucial for effectively prompting Codex in the cross-domain setting. This is not surprising, as Codex cannot di- rectly learn knowledge specific to the test database from the out-of-domain demonstrations. Further- more, we find that Codex continues to exhibit sensi- tivity to the representation of table content. Despite having demonstration databases that mirror the con- struction of the test database, Codex still displays a preference forSelectRow and SelectCol when presenting table content, compared to InsertCol. In conclusion, while out-of-domain demonstra- tions enhance LLMs’ capabilities in text-to-SQL, they do not provide database-specific knowledge. Consequently, careful construction of database prompts remains crucial, aligning with the observa- tions made in the zero-shot setting. 6 Related Work LLMs for Text-to-SQL In recent years, there has been significant progress in leveraging LLMs for the text-to-SQL task. Various methods have been proposed to enhance the capabilities of LLMs. For example, Rubin et al. (2021); Poesia et al. (2022) have demonstrated the effectiveness of similarity-based demonstration retrieval in the cross-domain setting. Additionally, Levy et al. (2022) have highlighted the advantages of incor- porating diverse demonstrations for compositional generalization. Furthermore, Pourreza and Rafiei (2023) and Chen et al. (2023) incorporate interme- diate steps in prompts and unlock LLMs’ capability of self-correcting their predictions. In contrast to these approaches, our focus lies in conducting a comprehensive evaluation of prompt representations across different text-to-SQL set- tings. While there are similar motivations to the work by Rajkumar et al. (2022), which analyzes the performance of CodeX on Spider for the zero-shot setting and on two databases for the single-domain setting, we aim to provide more general findings by evaluating across a wider range of databases and considering all three text-to-SQL settings. Table Representation Encoding structured databases with neural models has been a persistent challenge. To encode database schema, graph neural networks are utilized to represent the rela- tionships among tables (Bogin et al., 2019; Chen et al., 2021b). Alternatively, other studies (Guo et al., 2019; Lin et al., 2020; Shaw et al., 2020) have converted table schemas into a sequence to effectively leverage pretrained language models, such as BERT (Devlin et al., 2018) and T5 (Raffel et al., 2020). In such cases, table relationships can be encoded as meta-data features (Lin et al., 2020) or used as a guide for attention mechanism (Wang et al., 2019; Cao et al., 2021; Li et al., 2023b). To incorporate table content into neural mod- els, prior supervised methods provide question- specific table content by identifying the relevant table content mentioned in the question through string matching (Lin et al., 2020; Shaw et al., 2020). However, Chang et al. (2023) have revealed the vulnerability of string matching to perturbations. Given that LLMs with in-context learning support longer input sequences compared to supervised methods, we follow previous work to provide table content without explicitly considering the questions (Rajkumar et al., 2022; Chen et al., 2023)."
Chang and Fosler-Lussier - 2023 - How to Prompt LLMs for Text-to-SQL A Study in Zer.pdf,9,caption,Table 2: Cross-domain results of Codex using different database prompt constructions. Only one demonstration
Chang and Fosler-Lussier - 2023 - How to Prompt LLMs for Text-to-SQL A Study in Zer.pdf,9,page,"7 Conclusions In this paper, we investigate effective prompt- ing strategies in the text-to-SQL task. We thor- oughly compare various prompt construction strate- gies for databases and demonstrations in the zero- shot, single-domain, and cross-domain text-to-SQL. Through our investigation, we uncover the critical database knowledge and optimal representations for effective prompting. Additionally, an interest- ing finding is the existence of a sweet spot in terms of prompt length for Codex in the cross-domain setting. Overall, we believe that our findings will provide valuable guidance for future research in the field of text-to-SQL with LLMs. Limitation We conducted our experiments using 20 databases from the Spider dataset, with the goal of providing general findings for text-to-SQL prompt construc- tions. However, our findings may not always be applicable to a specific database, particularly if the database is significantly different from the Spider databases. For the single-domain and cross-domain text-to-SQL scenarios, we conduct our experiments multiple times, each involving randomly selecting demonstrations with different random seeds, how- ever, we did not investigate the effectiveness of prompt constructions with different demonstration- retrieval strategies or intermediate reasoning steps. Ethics Statement We acknowledge the importance of the ACL Ethics Policy and agree with it. In this paper, we use Ope- nAI Codex and ChatGPT as our language models 4. Codex is currently free for research purposes, the cost of ChatGPT is around $200. The code for the paper is included in the supplementary ma- terials and will be publicly released to facilitate reproducibility. 4API is available at https://openai.com/api/. References Ben Bogin, Matt Gardner, and Jonathan Berant. 2019. Representing schema structure with graph neural networks for text-to-sql parsing. arXiv preprint arXiv:1905.06241. Tom Brown, Benjamin Mann, Nick Ryder, Melanie Subbiah, Jared D Kaplan, Prafulla Dhariwal, Arvind Neelakantan, Pranav Shyam, Girish Sastry, Amanda Askell, et al. 2020. Language models are few-shot learners. Advances in neural information processing systems, 33:1877–1901. Ruisheng Cao, Lu Chen, Zhi Chen, Yanbin Zhao, Su Zhu, and Kai Yu. 2021. Lgesql: line graph en- hanced text-to-sql model with mixed local and non- local relations. arXiv preprint arXiv:2106.01093. Shuaichen Chang, Jun Wang, Mingwen Dong, Lin Pan, Henghui Zhu, Alexander Hanbo Li, Wuwei Lan, Sheng Zhang, Jiarong Jiang, Joseph Lilien, et al. 2023. Dr. spider: A diagnostic evaluation bench- mark towards text-to-sql robustness. arXiv preprint arXiv:2301.08881. Mark Chen, Jerry Tworek, Heewoo Jun, Qiming Yuan, Henrique Ponde de Oliveira Pinto, Jared Kaplan, Harri Edwards, Yuri Burda, Nicholas Joseph, Greg Brockman, et al. 2021a. Evaluating large lan- guage models trained on code. arXiv preprint arXiv:2107.03374. Xinyun Chen, Maxwell Lin, Nathanael Schärli, and Denny Zhou. 2023. Teaching large language models to self-debug. arXiv preprint arXiv:2304.05128. Zhi Chen, Lu Chen, Yanbin Zhao, Ruisheng Cao, Zi- han Xu, Su Zhu, and Kai Yu. 2021b. Shadowgnn: Graph projection neural network for text-to-sql parser. arXiv preprint arXiv:2104.04689. Zhoujun Cheng, Tianbao Xie, Peng Shi, Chengzu Li, Rahul Nadkarni, Yushi Hu, Caiming Xiong, Dragomir Radev, Mari Ostendorf, Luke Zettlemoyer, et al. 2022. Binding language models in symbolic languages. arXiv preprint arXiv:2210.02875. Aakanksha Chowdhery, Sharan Narang, Jacob Devlin, Maarten Bosma, Gaurav Mishra, Adam Roberts, Paul Barham, Hyung Won Chung, Charles Sutton, Sebastian Gehrmann, et al. 2022. Palm: Scaling language modeling with pathways. arXiv preprint arXiv:2204.02311. Deborah A. Dahl, Madeleine Bates, Michael Brown, William Fisher, Kate Hunicke-Smith, David Pallett, Christine Pao, Alexander Rudnicky, and Elizabeth Shriberg. 1994. Expanding the scope of the atis task: The atis-3 corpus. In Proceedings of the Workshop on Human Language Technology, pages 43–48. Jacob Devlin, Ming-Wei Chang, Kenton Lee, and Kristina Toutanova. 2018. Bert: Pre-training of deep bidirectional transformers for language understand- ing. arXiv preprint arXiv:1810.04805."
Chang and Fosler-Lussier - 2023 - How to Prompt LLMs for Text-to-SQL A Study in Zer.pdf,10,page,"Catherine Finegan-Dollak, Jonathan K Kummerfeld, Li Zhang, Karthik Ramanathan, Sesh Sadasivam, Rui Zhang, and Dragomir Radev. 2018. Improving text-to-sql evaluation methodology. arXiv preprint arXiv:1806.09029. Yujian Gan, Xinyun Chen, Jinxia Xie, Matthew Purver, John R Woodward, John Drake, and Qiaofu Zhang. 2021. Natural sql: Making sql easier to infer from natural language specifications. arXiv preprint arXiv:2109.05153. Jiaqi Guo, Zecheng Zhan, Yan Gao, Yan Xiao, Jian- Guang Lou, Ting Liu, and Dongmei Zhang. 2019. To- wards complex text-to-sql in cross-domain database with intermediate representation. arXiv preprint arXiv:1905.08205. Itay Levy, Ben Bogin, and Jonathan Berant. 2022. Diverse demonstrations improve in-context compositional generalization. arXiv preprint arXiv:2212.06800. Haoyang Li, Jing Zhang, Cuiping Li, and Hong Chen. 2023a. Decoupling the skeleton parsing and schema linking for text-to-sql. arXiv preprint arXiv:2302.05965. Jinyang Li, Binyuan Hui, Reynold Cheng, Bowen Qin, Chenhao Ma, Nan Huo, Fei Huang, Wenyu Du, Luo Si, and Yongbin Li. 2023b. Graphix-t5: Mixing pre- trained transformers with graph-aware layers for text- to-sql parsing. arXiv preprint arXiv:2301.07507. Xi Victoria Lin, Richard Socher, and Caiming Xiong. 2020. Bridging textual and tabular data for cross- domain text-to-sql semantic parsing. In Findings of the Association for Computational Linguistics: EMNLP 2020, pages 4870–4888. Aiwei Liu, Xuming Hu, Lijie Wen, and Philip S Yu. 2023. A comprehensive evaluation of chat- gpt’s zero-shot text-to-sql capability. arXiv preprint arXiv:2303.13547. Gabriel Poesia, Oleksandr Polozov, Vu Le, Ashish Ti- wari, Gustavo Soares, Christopher Meek, and Sumit Gulwani. 2022. Synchromesh: Reliable code gen- eration from pre-trained language models. arXiv preprint arXiv:2201.11227. Mohammadreza Pourreza and Davood Rafiei. 2023. Din-sql: Decomposed in-context learning of text-to-sql with self-correction. arXiv preprint arXiv:2304.11015. Patti Price. 1990. Evaluation of spoken language sys- tems: The atis domain. In Speech and Natural Lan- guage: Proceedings of a Workshop Held at Hidden Valley, Pennsylvania, June 24-27, 1990. Colin Raffel, Noam Shazeer, Adam Roberts, Katherine Lee, Sharan Narang, Michael Matena, Yanqi Zhou, Wei Li, Peter J Liu, et al. 2020. Exploring the limits of transfer learning with a unified text-to-text trans- former. J. Mach. Learn. Res., 21(140):1–67. Nitarshan Rajkumar, Raymond Li, and Dzmitry Bah- danau. 2022. Evaluating the text-to-sql capabil- ities of large language models. arXiv preprint arXiv:2204.00498. Ohad Rubin and Jonathan Berant. 2021. Smbop: Semi- autoregressive bottom-up semantic parsing. In Pro- ceedings of the 2021 Conference of the North Amer- ican Chapter of the Association for Computational Linguistics: Human Language Technologies, pages 311–324. Ohad Rubin, Jonathan Herzig, and Jonathan Berant. 2021. Learning to retrieve prompts for in-context learning. arXiv preprint arXiv:2112.08633. Torsten Scholak, Nathan Schucher, and Dzmitry Bah- danau. 2021. Picard: Parsing incrementally for constrained auto-regressive decoding from language models. In Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing, pages 9895–9901. Peter Shaw, Ming-Wei Chang, Panupong Pasupat, and Kristina Toutanova. 2020. Compositional general- ization and natural language variation: Can a seman- tic parsing approach handle both? arXiv preprint arXiv:2010.12725. Peng Shi, Rui Zhang, He Bai, and Jimmy Lin. 2022. Xricl: Cross-lingual retrieval-augmented in-context learning for cross-lingual text-to-sql semantic pars- ing. arXiv preprint arXiv:2210.13693. Bailin Wang, Richard Shin, Xiaodong Liu, Oleksandr Polozov, and Matthew Richardson. 2019. Rat-sql: Relation-aware schema encoding and linking for text- to-sql parsers. arXiv preprint arXiv:1911.04942. Tao Yu, Chien-Sheng Wu, Xi Victoria Lin, Bailin Wang, Yi Chern Tan, Xinyi Yang, Dragomir R Radev, Richard Socher, and Caiming Xiong. 2021. Grappa: Grammar-augmented pre-training for table semantic parsing. In ICLR. Tao Yu, Rui Zhang, Kai Yang, Michihiro Yasunaga, Dongxu Wang, Zifan Li, James Ma, Irene Li, Qingn- ing Yao, Shanelle Roman, et al. 2018. Spider: A large-scale human-labeled dataset for complex and cross-domain semantic parsing and text-to-sql task. arXiv preprint arXiv:1809.08887. John M. Zelle and Raymond J. Mooney. 1996. Learn- ing to parse database queries using inductive logic programming. In Proceedings of the Thirteenth Na- tional Conference on Artificial Intelligence - Volume 2, pages 1050–1055."
